	SD	RH
2017-11-01	0.0	0.0027052462
2017-11-02	0.0	0.0028534178
2017-11-03	0.0	0.0021149497
2017-11-04	0.0	0.0025996258
2017-11-05	0.0	0.0021788366
2017-11-06	0.0	0.0015701037
2017-11-07	0.0	0.0013952991
2017-11-08	0.0	0.0015392303
2017-11-09	0.0	0.00073809177
2017-11-10	0.0	0.0009870846
2017-11-11	0.25	0.0022175554
2017-11-12	0.3125	0.002571756
2017-11-13	0.3125	0.002168958
2017-11-14	0.25	0.003597632
2017-11-15	0.1875	0.0023705112
2017-11-16	0.1875	0.0015804861
2017-11-17	0.25	0.0025627855
2017-11-18	0.8125	0.0015605828
2017-11-19	0.875	0.0012303097
2017-11-20	0.875	0.0021384154
2017-11-21	2.5	0.0014057141
2017-11-22	2.5	0.0012898203
2017-11-23	2.5625	0.001625115
2017-11-24	2.5625	0.0034499122
2017-11-27	2.875	0.0025607198
2017-11-28	2.875	0.0017824499
2017-11-29	2.875	0.0020821206
2017-11-30	2.9375	0.0025983155
2017-12-01	2.9375	0.0033223368
2017-12-02	3.0	0.0024721716
2017-12-03	3.0	0.0027662385
2017-12-04	3.0625	0.002745198
2017-12-05	3.875	0.0009180773
2017-12-06	4.0625	0.0010389909
2017-12-07	4.0625	0.0011941092
2017-12-08	4.0625	0.0014360817
2017-12-09	4.125	0.0013883207
2017-12-10	4.125	0.0016093459
2017-12-12	5.5	0.0012235641
2017-12-13	5.625	0.0018495517
2017-12-14	5.75	0.0013652658
2017-12-15	5.8125	0.0008965526
2017-12-16	6.0	0.0008424707
2017-12-17	6.125	0.0020074267
2017-12-18	6.125	0.0028349916
2017-12-19	6.1875	0.0011852272
2017-12-20	6.1875	0.0006425185
2017-12-21	6.1875	0.00064111874
2017-12-22	6.375	0.0012992136
2017-12-23	6.4375	0.0010543438
2017-12-24	6.5	0.0003581727
2017-12-25	6.5625	0.00023310538
2017-12-26	6.5625	0.0002633687
2017-12-27	6.5625	0.0003674496
2017-12-28	6.5625	0.0005004406
2017-12-29	6.6875	0.0003869282
2017-12-30	6.75	0.00019145012
2017-12-31	6.75	0.00024521444
2018-01-01	6.75	0.00045759697
2018-01-02	6.75	0.00060272217
2018-01-03	6.8125	0.00041865278
2018-01-04	6.8125	0.0003047241
2018-01-05	6.8125	0.00032759923
2018-01-06	6.8125	0.0005532503
2018-01-07	6.875	0.0019186698
2018-01-08	6.9375	0.0011779387
2018-01-09	6.9375	0.0011451365
2018-01-10	6.9375	0.0032814424
2018-01-11	7.25	0.00038189813
2018-01-12	7.25	0.00030385796
2018-01-13	7.25	0.00042503513
2018-01-14	7.625	0.0008058371
2018-01-15	7.9375	0.00030946732
2018-01-16	7.9375	0.00041532516
2018-01-17	7.9375	0.00090977363
2018-01-18	8.0	0.0012620129
2018-01-19	8.0	0.0033612158
2018-01-20	8.0	0.0016768537
2018-01-21	8.125	0.0014694314
2018-01-22	8.125	0.002012332
2018-01-23	8.125	0.0017274041
2018-01-24	8.3125	0.0014903899
2018-01-25	8.3125	0.001035436
2018-01-26	8.3125	0.0025349166
2018-01-27	9.125	0.0013163444
2018-01-28	9.125	0.00049447455
2018-01-29	9.125	0.000501547
2018-01-30	9.125	0.00062809885
2018-01-31	9.9375	0.00054257456
2018-02-01	10.125	0.00036619697
2018-02-02	10.125	0.00047994033
2018-02-03	10.3125	0.00039219856
2018-02-04	10.3125	0.00031489972
2018-02-05	10.3125	0.00054597855
2018-02-06	10.3125	0.00045117922
2018-02-07	10.3125	0.0005032467
2018-02-08	10.3125	0.00051807985
2018-02-09	10.3125	0.00042028818
2018-02-10	10.3125	0.0006906986
2018-02-11	10.5	0.000982523
2018-02-12	10.5625	0.0003227191
2018-02-13	10.5625	0.00080283545
2018-02-14	10.5625	0.0020201178
2018-02-16	11.5625	0.00069194473
2018-02-17	11.5625	0.0009460449
2018-02-18	11.5625	0.0009140391
2018-02-19	11.5625	0.00035280734
2018-02-20	11.5625	0.0006988067
2018-02-21	11.625	0.00072456524
2018-02-22	11.625	0.0007605087
2018-02-23	11.625	0.0010616183
2018-02-24	11.625	0.0009742258
2018-02-25	11.8125	0.0019536745
2018-02-26	11.9375	0.0011718441
2018-02-27	11.9375	0.001826507
2018-02-28	11.9375	0.0013602674
2018-03-01	11.9375	0.002148686
2018-03-02	11.9375	0.0018853964
2018-03-03	11.9375	0.00208354
2018-03-04	11.9375	0.003111599
2018-03-05	12.0	0.0028312942
2018-03-06	11.875	0.0011262447
2018-03-07	11.875	0.0013926867
2018-03-08	11.875	0.00202291
2018-03-09	11.9375	0.0014222153
2018-03-10	11.9375	0.0012535201
2018-03-11	11.9375	0.002573274
2018-03-12	11.9375	0.0015055723
2018-03-13	11.9375	0.0017855847
2018-03-14	11.9375	0.0022331476
2018-03-15	11.9375	0.0010757027
2018-03-16	11.9375	0.0010947613
2018-03-17	11.9375	0.0013107797
2018-03-18	11.9375	0.0024555214
2018-03-19	11.5625	0.0011903001
2018-03-20	11.5625	0.0015744194
2018-03-21	11.375	0.0029860977
2018-03-22	10.5625	0.0036498262
2018-03-23	9.5	0.0026785322
2018-03-24	8.4375	0.0020052716
2018-03-25	7.9375	0.002584367
2018-03-26	7.25	0.003554766
2018-03-27	5.3125	0.003251507
2018-03-28	3.5	0.002847433
2018-03-29	3.625	0.0012792991
2018-03-30	3.625	0.00053873006
2018-03-31	3.625	0.0005407613
2018-04-01	3.6875	0.0011046026
2018-04-02	3.6875	0.00043329597
2018-04-03	3.6875	0.0004947493
2018-04-04	3.6875	0.0011852244
2018-04-05	3.625	0.0010887412
2018-04-06	3.6875	0.0006570779
2018-04-07	3.6875	0.0007903697
2018-04-08	3.6875	0.00086496584
2018-04-09	3.6875	0.0012033209
2018-04-10	2.8125	0.002766585
2018-04-11	1.8125	0.0015216339
2018-04-12	1.125	0.0010862043
2018-04-13	0.9375	0.0008466337
2018-04-14	0.9375	0.0012001116
2018-04-15	0.75	0.0012933239
2018-04-16	0.4375	0.0014198413
2018-04-17	0.125	0.0013365746
2018-04-18	0.0	0.0011631232
2018-04-19	0.0	0.0016056476
2018-04-20	0.0	0.00209531
2018-04-21	0.0	0.003602269
2018-04-22	0.0	0.004351639
2018-04-23	0.0	0.0038240207
2018-04-24	0.0	0.002276672
2018-04-25	0.0	0.002792379
2018-04-26	0.0	0.0031233076
2018-04-27	0.0	0.0038711745
2018-04-28	0.0	0.0022018533
2018-04-29	0.0	0.003733823
